,x,y
0,86.2711029053,-6.94352149963
1,78.4853515625,-13.5836763382
2,57.6377220154,-14.4787120819
3,64.907623291,-25.0757923126
4,97.9685516357,-24.9926223755
5,58.9396057129,-26.0003662109
6,59.8530693054,-28.5651264191
7,370.219360352,-36.0883560181
8,43.3741455078,-39.5197181702
9,43.5833091736,-42.7013549805
10,39.7421722412,-46.3764076233
11,32.47448349,-48.9632415771
12,29.4879493713,-51.4990959167
13,19.92710495,-59.0959396362
14,16.9937496185,-61.9248466492
15,52.3134689331,-64.7950286865
16,7.61454820633,-69.2871246338
17,41.3393096924,-69.5370254517
18,47.4018135071,-69.4276351929
19,517.374572754,-73.6310272217
20,517.862243652,-87.4002151489
21,516.19128418,-89.5812911987
22,524.89453125,-89.543296814
23,515.454345703,-105.376060486
24,292.15512085,-107.870246887
25,295.090576172,-109.437522888
26,267.210632324,-111.494155884
27,498.536560059,-127.455703735
28,868.456726074,-174.018753052
29,848.50189209,-174.563522339
30,845.610900879,-175.684280396
31,870.373718262,-176.06578064
32,331.69152832,-186.838165283
33,461.716156006,-186.97227478
34,211.112716675,-187.831329346
35,458.389465332,-196.885299683
36,466.115631104,-197.264587402
37,466.16998291,-199.934799194
38,466.16998291,-199.934799194
39,236.114883423,-203.589736938
40,453.065246582,-230.91708374
41,348.810974121,-279.488677979
42,964.868713379,-284.999908447
43,967.71282959,-302.055480957
44,337.084899902,-303.191589355
45,337.084899902,-303.191589355
46,106.186912537,-323.736083984
47,246.009246826,-324.395263672
48,81.7781219482,-326.429382324
49,105.870788574,-326.376434326
50,290.016723633,-327.113250732
51,459.145751953,-326.976348877
52,241.744750977,-346.640655518
53,389.940643311,-363.570739746
54,409.982635498,-462.422210693
55,409.982635498,-462.422210693
56,129.475708008,-466.391448975
57,144.61932373,-466.427886963
58,155.281585693,-466.677886963
59,133.055923462,-466.936676025
60,190.804321289,-470.661529541
61,150.69392395,-473.30960083
62,1001.33502197,-475.425750732
63,1001.33502197,-475.425750732
64,998.47479248,-476.097961426
65,90.4402923584,-3.85194396973
66,528.230041504,-26.4301338196
67,528.230041504,-26.4301338196
68,532.520507812,-29.6884841919
69,526.911987305,-29.929567337
70,54.1821136475,-34.4689292908
71,47.7679290771,-39.698764801
72,36.495513916,-45.3690452576
